n	x	y	ch
1	-15.879563	0.425553	FP1
2	-38.574506	0.315310	F3.
3	-40.383096	0.165307	FC1
4	-86.767948	0.218632	C3.
5	-138.401622	0.131027	CP1
6	-140.004936	0.253792	P3.
7	-165.045704	0.369739	O1.
8	-29.378127	0.430499	AF7
9	-47.105645	0.441968	F7.
10	-63.136735	0.344081	FC5
11	-87.140643	0.428948	T3.
12	-110.500972	0.308052	CP5
13	-128.419583	0.389577	T5.
14	-146.119026	0.376665	PO7
15	-2.823417	0.417502	FPZ
16	-3.871021	0.249176	FZ.
17	27.092627	0.014595	CZ.
18	171.967400	0.096081	CPZ
19	176.354756	0.194046	PZ.
20	178.141661	0.281925	POZ
21	178.207328	0.368312	OZ.
22	11.870925	0.419950	FP2
23	34.612754	0.286614	F4.
24	40.680341	0.163266	FC2
25	85.892653	0.214625	C4.
26	130.389376	0.148105	CP2
27	136.232553	0.259532	P4.
28	162.455749	0.376674	O2.
29	29.675318	0.419691	AF8
30	47.267805	0.425391	F8.
31	64.627997	0.329499	FC6
32	87.166427	0.424522	T4.
33	109.997081	0.320078	CP6
34	128.419583	0.389577	T6.
35	143.934638	0.380725	PO8
36	-23.129951	0.267459	F1.
37	16.553199	0.258101	F2.
